Item,Quantity,Unit Price,Price,Unit Mass (g),Mass (g),Vendor,Link,Notes
Sensors,,,,,,,,
SCD-30 - NDIR CO2 Temperature and Humidity Sensor,1.00,$58.95,$58.95,10.00,10.00,Adafruit,https://www.adafruit.com/product/4867,
Barometer,1.00,$6.95,$6.95,2.00,2.00,Adafruit,https://www.adafruit.com/product/4494,
GPS,1.00,$29.95,$29.95,10.00,10.00,Adafruit,https://www.adafruit.com/product/4415,
,,,,,,,,
Compute / Connectivity,,,,,,,,
Raspberry Pi CM4 With Wifi (CM4102000),1.00,$78.90,$78.90,40.00,40.00,Ribbit Network,https://www.ribbitnetwork.org/buy-a-frog-sensor,
"CM4 Carrier Board ",1.00,$26.50,$26.50,,,Amazon,https://www.amazon.com/dp/B095CSRWXS?ref=nb_sb_ss_w_as-reorder-t1_ypp_rep_k3_1_9&amp&crid=2MN71P5SC3D07&amp&sprefix=waveshare,
Wifi Antennae,1.00,$5.00,$5.00,2.00,4.00,Adafruit,https://www.adafruit.com/product/4793,
8 GB SD Card,1.00,$9.95,$9.95,0.25,0.25,Adafruit,https://www.adafruit.com/product/1294,
,,,,,,,,
Cables,,,,,,,,
Power Supply,1.00,$6.99,$6.99,94.00,94.00,Amazon,https://www.amazon.com/dp/B077PW5JC3?psc=1&ref=ppx_yo2_dt_b_product_details,
STEMMA QT / Qwiic JST SH 4-pin Cable - 50mm Long,1.00,$0.95,$0.95,0.25,0.25,Adafruit,https://www.adafruit.com/product/4399,
STEMMA QT / Qwiic JST SH 4-pin Cable - 100mm Long,1.00,$0.95,$0.95,0.50,0.50,Adafruit,https://www.adafruit.com/product/4210,
STEMMA QT / Qwiic JST SH 4-pin Cable - 200mm Long,1.00,$1.25,$1.25,1.00,1.00,Adafruit,https://www.adafruit.com/product/4401,
SparkFun Qwiic or Stemma QT SHIM,1,$0.95 ,$1.50 ,1,1,Adafruit,https://www.adafruit.com/product/4463,
2x3 Female Header,1,$0.66 ,$0.66 ,0.25,0.25,Pololu,https://www.pololu.com/product/1023,
,,,,,,,,
Mechanical,,,,,,,,
Brass Standoffs M2.5x10mm,8.00,$0.62,$4.96,0.50,4.00,Mouser,https://www.mouser.com/ProductDetail/Wurth-Elektronik/971100154?qs=wr8lucFkNMUP5RNWEZb8yA%3D%3D,
M4 x 0.7mm x 10mm Button Head,2.00,$0.09,$0.18,1.00,2.00,McMaster,https://www.mcmaster.com/92095A190/,
,,,,,,,,
3D Printed Parts,,,,,,,,Quantity shows percentage of a filament roll used for each part
Enclosure Box,0.20,$22.99,$4.60,84.00,16.80,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Enclosure Lid,0.10,$22.99,$2.30,84.00,8.40,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Sensor Shroud,0.10,$22.99,$2.30,84.00,8.40,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Frog Eyes,0.02,$22.99,$0.46,2.00,0.04,Amazon,https://www.amazon.com/gp/product/B00ZAUQZTA/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Frog Mouth,0.01,$21.99,$0.22,1.00,0.01,Amazon,https://www.amazon.com/gp/product/B07VBKP1PN/ref=ppx_yo_dt_b_asin_title_o01_s01?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
Frog Head,0.11,$23.99,$2.64,60.00,6.60,Amazon,https://www.amazon.com/gp/product/B014VM991I/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://github.com/Ribbit-Network/ribbit-network-frog-sensor/tree/main/hardware/mechanical
,,,,,,,,
Consumables,,,,,,,,
Two Part Epoxy,0.10,$3.59,$0.36,0.00,0.00,Amazon,https://www.amazon.com/Loctite-Instant-0-47-Fluid-Syringe-1365868/dp/B0044F9KFI/ref=sr_1_4?dchild=1&keywords=two%2Bpart%2Bepoxy&qid=1628644111&sr=8-4&th=1,
Loctite,0.10,$5.97,$0.60,0.00,0.00,Amazon,https://www.amazon.com/Loctite-Heavy-Duty-Threadlocker-Single/dp/B000I1RSNS/ref=sr_1_2?dchild=1&keywords=loctite&qid=1629786956&sr=8-2,
,,,,,,,,
